ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
CANT_8,0.603372971645789,5,3.0,39.6627028354211,CRITICAL
NDMC_1,0.6143531792882442,14,14.0,38.56468207117558,CRITICAL
NDMC_2,0.5861471861471862,6,0.0,41.38528138528138,CRITICAL
NDMC_3,0.5325124330016799,31,0.0,46.74875669983201,CRITICAL
NDMC_4,0.5974681883772793,18,7.0,40.253181162272064,CRITICAL
NDMC_5,0.6054860291223928,30,20.0,39.45139708776072,CRITICAL
NDMC_6,0.6074576938213302,6,5.0,39.25423061786698,CRITICAL
NDMC_7,0.5943427784336875,12,8.0,40.565722156631246,CRITICAL
NDMC_8,0.587603305785124,2,0.0,41.239669421487605,CRITICAL
NDMC_9,0.5666668052558429,40,6.0,43.33331947441571,CRITICAL
